Key,1,2,3,4,5
C/C++/Objective-C,1.78,13.88,43.83,38.81,1.7
Java,1.11,10.47,39.94,45.66,2.8
Haskell/OCaml/ML/F#,4.89,32,46.2,16.9,0.0
